Household_ID,State,Urban,Household_Size,Internet_Access,Online_Purchase,Online_Food,Online_Medicine,Online_Consumables,Online_Electronics,Sample_Weight
39,Andhra Pradesh,1,2,1,1,1,1,0,0,70.49319971630432
40,Andhra Pradesh,0,4,1,1,1,0,1,1,144.18416224229543
41,Andhra Pradesh,1,1,1,1,0,1,0,0,150.80392029427992
42,Andhra Pradesh,1,2,0,0,0,0,0,0,179.0606927467513
43,Andhra Pradesh,1,1,1,1,1,0,1,0,118.58977424205928
44,Andhra Pradesh,0,3,1,0,0,0,0,0,70.7529638626702
45,Andhra Pradesh,1,6,1,1,1,0,0,1,77.6500511497055
46,Andhra Pradesh,1,3,1,1,0,0,1,1,77.4298995660961
47,Andhra Pradesh,0,5,0,0,0,0,0,0,115.35093480168366
48,Andhra Pradesh,0,1,0,0,0,0,0,0,68.02469717084632
49,Andhra Pradesh,1,1,1,1,0,1,1,0,171.03694655761691
50,Andhra Pradesh,1,3,1,1,0,0,1,1,190.01544621192244
51,Andhra Pradesh,0,4,0,0,0,0,0,0,191.58374068411356
52,Andhra Pradesh,0,6,0,0,0,0,0,0,151.57525135744726
53,Andhra Pradesh,0,2,0,0,0,0,0,0,143.89095051523591
54,Andhra Pradesh,0,5,1,1,1,1,1,0,100.48313223330896
55,Andhra Pradesh,0,4,0,0,0,0,0,0,89.10417923538546
56,Andhra Pradesh,0,5,1,0,0,0,0,0,55.877949001346934
57,Andhra Pradesh,1,6,1,1,0,0,0,1,87.5024673824157
58,Andhra Pradesh,0,6,0,0,0,0,0,0,151.9767169850369
59,Andhra Pradesh,0,3,1,0,0,0,0,0,124.48417860246165
60,Andhra Pradesh,1,2,1,1,0,0,0,0,151.5154856636455
61,Andhra Pradesh,1,3,1,1,0,0,1,0,167.19440757068037
62,Andhra Pradesh,1,6,0,0,0,0,0,0,58.380673201602505
63,Andhra Pradesh,0,4,0,0,0,0,0,0,153.20450152625585
64,Andhra Pradesh,0,6,0,0,0,0,0,0,83.38646263565458
65,Andhra Pradesh,1,5,1,1,1,0,0,0,85.50277905231181
66,Andhra Pradesh,0,4,1,0,0,0,0,0,122.2500481946173
67,Andhra Pradesh,1,4,1,1,1,1,1,0,161.14607913660024
68,Andhra Pradesh,0,6,0,0,0,0,0,0,85.6259706938705
69,Andhra Pradesh,1,3,1,1,1,0,0,0,98.40295824163755
70,Andhra Pradesh,1,6,0,0,0,0,0,0,154.31166846599712
71,Andhra Pradesh,1,2,1,1,0,0,0,0,187.28815125036596
72,Andhra Pradesh,0,2,1,1,1,1,0,0,84.40921185574246
73,Andhra Pradesh,1,3,1,1,1,1,0,0,90.64364637726948
74,Andhra Pradesh,1,1,0,0,0,0,0,0,137.17439317712393
75,Andhra Pradesh,0,2,0,0,0,0,0,0,74.72513917055014
76,Andhra Pradesh,1,4,1,0,0,0,0,0,106.51084549069111
77,Andhra Pradesh,0,4,0,0,0,0,0,0,59.5267744385002
78,Andhra Pradesh,1,1,1,1,1,0,0,0,137.7724298488208
79,Andhra Pradesh,0,5,1,1,1,1,1,1,181.73310012187883
80,Andhra Pradesh,0,1,1,1,1,0,0,0,172.45786028195937
81,Andhra Pradesh,0,2,0,0,0,0,0,0,122.00689505277127
82,Andhra Pradesh,1,4,1,0,0,0,0,0,185.47265880149394
83,Andhra Pradesh,0,8,0,0,0,0,0,0,133.22234128133385
84,Andhra Pradesh,1,4,1,1,0,1,0,0,169.47076635108158
85,Andhra Pradesh,1,5,1,1,1,0,1,1,136.94749017076077
86,Andhra Pradesh,1,3,1,0,0,0,0,0,110.0450733365422
87,Andhra Pradesh,0,3,0,0,0,0,0,0,181.14764072816257
88,Andhra Pradesh,0,8,0,0,0,0,0,0,173.26859552666738
89,Andhra Pradesh,1,2,1,1,1,1,0,1,99.51492699652331
90,Andhra Pradesh,1,1,1,1,1,1,0,1,180.24516605533802
91,Andhra Pradesh,1,3,0,0,0,0,0,0,188.60626386611497
92,Andhra Pradesh,1,4,1,0,0,0,0,0,59.35120437668622
93,Andhra Pradesh,1,1,1,0,0,0,0,0,162.44243480128813
94,Andhra Pradesh,1,5,1,1,1,0,1,0,176.10649788168968
95,Andhra Pradesh,1,3,1,1,1,1,0,0,137.6299227071254
96,Andhra Pradesh,0,4,0,0,0,0,0,0,106.8158938926934
97,Andhra Pradesh,1,5,1,1,1,1,0,1,83.79991965687924
98,Andhra Pradesh,1,3,0,0,0,0,0,0,170.8797330111715
99,Andhra Pradesh,1,5,1,1,0,0,0,0,187.60934196282975
100,Andhra Pradesh,1,7,1,0,0,0,0,0,173.12922097300287
101,Andhra Pradesh,0,4,0,0,0,0,0,0,80.76163402241886
102,Andhra Pradesh,0,5,1,0,0,0,0,0,129.4760034771675
103,Andhra Pradesh,0,5,1,1,0,1,0,0,118.14019583286495
104,Andhra Pradesh,0,4,1,0,0,0,0,0,63.18021668639852
105,Andhra Pradesh,1,1,1,1,1,0,1,0,161.89617883230773
106,Andhra Pradesh,1,6,0,0,0,0,0,0,106.88428774457006
107,Andhra Pradesh,0,5,1,0,0,0,0,0,174.19113307662377
108,Andhra Pradesh,0,5,0,0,0,0,0,0,85.35376190974996
109,Andhra Pradesh,0,6,1,0,0,0,0,0,152.44730951256986
110,Andhra Pradesh,1,4,0,0,0,0,0,0,130.96715928719496
111,Andhra Pradesh,1,3,1,1,0,1,1,0,114.72922147046638
112,Andhra Pradesh,1,4,1,1,0,0,0,0,199.65389238857648
113,Andhra Pradesh,0,5,0,0,0,0,0,0,80.68168897541949
114,Andhra Pradesh,0,4,0,0,0,0,0,0,130.47220272268922
115,Andhra Pradesh,1,3,1,1,0,0,0,0,51.830460847706675
116,Andhra Pradesh,0,4,0,0,0,0,0,0,174.01982417136173
117,Andhra Pradesh,0,3,1,1,1,0,0,1,65.11919045238298
118,Andhra Pradesh,1,4,1,1,0,0,1,0,165.6870002779607
119,Andhra Pradesh,1,1,1,1,0,0,1,1,74.82807655509346
120,Andhra Pradesh,1,5,1,1,1,0,1,0,80.83697125634562
121,Andhra Pradesh,0,5,1,1,0,0,1,0,187.76820874089518
122,Andhra Pradesh,0,1,0,0,0,0,0,0,136.64479311373208
123,Andhra Pradesh,1,1,1,1,1,1,1,0,196.33119735241343
124,Andhra Pradesh,1,3,0,0,0,0,0,0,77.66943071282842
125,Andhra Pradesh,1,2,1,1,0,1,0,0,106.65889211602538
126,Andhra Pradesh,0,4,1,0,0,0,0,0,129.14715952171787
127,Andhra Pradesh,0,4,0,0,0,0,0,0,65.44722189969733
128,Andhra Pradesh,1,1,1,1,0,0,0,0,175.96832891848558
129,Andhra Pradesh,0,4,0,0,0,0,0,0,79.41696495401791
130,Andhra Pradesh,0,4,1,0,0,0,0,0,183.11907237702545
131,Andhra Pradesh,0,5,0,0,0,0,0,0,140.47961032654695
132,Andhra Pradesh,0,7,0,0,0,0,0,0,110.95884624102831
133,Andhra Pradesh,1,1,1,1,0,1,0,0,155.59192027077643
134,Andhra Pradesh,0,5,1,0,0,0,0,0,104.45888182926358
135,Andhra Pradesh,1,5,1,0,0,0,0,0,104.41368419989182
136,Andhra Pradesh,0,3,0,0,0,0,0,0,67.13568888805952
137,Andhra Pradesh,0,8,0,0,0,0,0,0,122.71675507255192
138,Andhra Pradesh,0,5,0,0,0,0,0,0,82.70346612411296
139,Andhra Pradesh,0,4,1,0,0,0,0,0,153.68327864144817
140,Andhra Pradesh,0,6,0,0,0,0,0,0,124.71361302665086
141,Andhra Pradesh,1,3,1,0,0,0,0,0,65.98680951930115
142,Andhra Pradesh,1,2,1,1,1,0,0,0,175.71604447674437
143,Andhra Pradesh,1,4,1,1,0,1,1,0,60.23745580311374
144,Andhra Pradesh,0,4,0,0,0,0,0,0,141.56070005119363
145,Andhra Pradesh,0,4,0,0,0,0,0,0,122.5632412898619
146,Andhra Pradesh,1,3,1,0,0,0,0,0,176.96117739718358
147,Andhra Pradesh,0,3,0,0,0,0,0,0,101.65755980663499
148,Andhra Pradesh,1,3,1,0,0,0,0,0,118.95222691416967
149,Andhra Pradesh,1,1,1,0,0,0,0,0,50.788072783757734
150,Andhra Pradesh,1,2,1,0,0,0,0,0,168.50203381877841
151,Andhra Pradesh,0,4,1,0,0,0,0,0,163.75886209185222
152,Andhra Pradesh,0,5,0,0,0,0,0,0,197.08652002699822
153,Andhra Pradesh,0,5,0,0,0,0,0,0,150.48761968250588
154,Andhra Pradesh,1,3,0,0,0,0,0,0,120.98151771220002
155,Andhra Pradesh,1,1,1,1,1,0,0,0,58.23239219697124
156,Andhra Pradesh,1,3,1,0,0,0,0,0,104.70458741859588
157,Andhra Pradesh,0,4,0,0,0,0,0,0,116.15482426222424
158,Andhra Pradesh,1,3,1,0,0,0,0,0,149.24827626208122
159,Andhra Pradesh,0,4,1,0,0,0,0,0,112.62591260418381
160,Andhra Pradesh,1,8,1,1,1,0,1,1,57.90257539658429
161,Andhra Pradesh,1,1,1,1,1,1,1,0,128.37787874517846
162,Andhra Pradesh,0,1,0,0,0,0,0,0,177.9232732537852
163,Andhra Pradesh,0,4,1,0,0,0,0,0,56.76510158304848
164,Andhra Pradesh,1,3,1,0,0,0,0,0,169.6983983215075
165,Andhra Pradesh,1,3,0,0,0,0,0,0,140.1197669663297
166,Andhra Pradesh,0,8,0,0,0,0,0,0,110.23703546382312
167,Andhra Pradesh,0,3,0,0,0,0,0,0,57.04180357217195
168,Andhra Pradesh,1,1,0,0,0,0,0,0,170.11545306948125
169,Andhra Pradesh,0,3,0,0,0,0,0,0,128.75472512904022
170,Andhra Pradesh,1,3,1,0,0,0,0,0,184.6154222069306
171,Andhra Pradesh,1,4,1,1,0,0,1,0,90.94390622844725
172,Andhra Pradesh,1,1,0,1,1,0,0,1,87.89736409413277
173,Andhra Pradesh,1,4,1,0,0,0,0,0,194.31829588880746
174,Andhra Pradesh,1,5,0,0,0,0,0,0,182.4359403706192
175,Andhra Pradesh,0,6,0,0,0,0,0,0,131.5668361996099
176,Andhra Pradesh,0,5,0,0,0,0,0,0,86.79282983830018
177,Andhra Pradesh,1,2,1,1,0,1,0,1,182.24556991555252
178,Andhra Pradesh,0,4,0,1,0,1,0,1,133.42726025596355
179,Andhra Pradesh,0,3,1,1,1,0,1,0,51.36086069790874
180,Andhra Pradesh,0,2,1,1,1,0,0,1,163.05482510757787
181,Andhra Pradesh,0,3,0,0,0,0,0,0,74.95663803984085
182,Andhra Pradesh,0,5,0,0,0,0,0,0,61.204162663678105
183,Andhra Pradesh,0,8,0,0,0,0,0,0,147.13604651028612
184,Andhra Pradesh,0,4,1,0,0,0,0,0,105.7750293858087
185,Andhra Pradesh,0,3,1,1,1,0,1,0,129.0536144317793
186,Andhra Pradesh,0,3,0,0,0,0,0,0,84.50805245471508
187,Andhra Pradesh,1,5,0,1,0,0,0,0,164.01411176571457
188,Andhra Pradesh,1,2,1,1,0,1,0,0,134.4125429515074
189,Andhra Pradesh,1,3,1,1,1,1,0,0,52.679283871747906
190,Andhra Pradesh,0,3,0,0,0,0,0,0,77.81883120149814
191,Andhra Pradesh,1,1,1,1,1,0,1,1,147.7279200203397
192,Andhra Pradesh,1,3,1,0,0,0,0,0,72.43709640013486
193,Andhra Pradesh,1,4,1,0,0,0,0,0,158.28314418904026
194,Andhra Pradesh,0,5,0,0,0,0,0,0,158.6427962189618
195,Andhra Pradesh,0,2,1,1,1,0,1,0,166.3707103689434
196,Andhra Pradesh,0,2,0,0,0,0,0,0,62.37628016606319
197,Andhra Pradesh,0,4,1,0,0,0,0,0,80.12886347934412
198,Andhra Pradesh,0,6,1,0,0,0,0,0,192.73249615329905
199,Andhra Pradesh,1,5,1,0,0,0,0,0,141.9416262298409
200,Andhra Pradesh,1,6,0,0,0,0,0,0,167.5134088912422
201,Andhra Pradesh,0,4,0,0,0,0,0,0,139.62137939478953
202,Andhra Pradesh,0,4,1,1,1,0,0,0,121.89183928644309
203,Andhra Pradesh,0,3,0,0,0,0,0,0,180.77491684596816
204,Andhra Pradesh,1,1,1,1,1,1,0,0,62.228973432864
205,Andhra Pradesh,1,2,1,1,0,1,0,0,176.93679380285738
206,Andhra Pradesh,0,5,0,0,0,0,0,0,131.49507850449325
207,Andhra Pradesh,0,4,1,1,0,0,0,0,198.81999745110085
208,Andhra Pradesh,1,3,1,1,0,1,0,0,140.27830754930127
209,Andhra Pradesh,0,4,0,0,0,0,0,0,60.369917927992915
210,Andhra Pradesh,1,1,1,1,1,0,1,0,96.82220850446706
211,Andhra Pradesh,1,5,1,0,0,0,0,0,139.80709701501615
212,Andhra Pradesh,1,2,1,0,0,0,0,0,116.30365606742863
213,Andhra Pradesh,1,3,1,1,1,0,0,1,103.88761218743684
214,Andhra Pradesh,1,4,1,0,0,0,0,0,167.2685494767544
215,Andhra Pradesh,0,4,0,0,0,0,0,0,130.98587592533187
216,Andhra Pradesh,1,7,1,1,1,0,1,1,63.28333763348621
217,Andhra Pradesh,1,3,1,1,1,0,1,0,195.96466221055198
218,Andhra Pradesh,0,3,0,0,0,0,0,0,129.83674832394485
219,Andhra Pradesh,1,1,1,0,0,0,0,0,159.93483775120126
220,Andhra Pradesh,1,2,1,1,1,0,1,0,196.79469311007955
221,Andhra Pradesh,1,1,1,0,0,0,0,0,179.6913253932555
222,Andhra Pradesh,0,2,0,0,0,0,0,0,140.09143138193542
223,Andhra Pradesh,0,6,0,0,0,0,0,0,102.28605008629557
224,Andhra Pradesh,1,4,1,0,0,0,0,0,199.00054060379426
225,Andhra Pradesh,0,2,1,1,1,0,0,0,185.20634743826665
226,Andhra Pradesh,0,3,0,0,0,0,0,0,94.53039118404212
227,Andhra Pradesh,0,3,0,0,0,0,0,0,134.5158391022688
228,Andhra Pradesh,1,3,1,0,0,0,0,0,116.66291791268023
229,Andhra Pradesh,1,3,1,0,0,0,0,0,163.9016491884299
230,Andhra Pradesh,0,4,0,0,0,0,0,0,187.1354773927205
231,Andhra Pradesh,0,2,1,1,1,0,0,0,162.0313574203734
232,Andhra Pradesh,0,4,0,0,0,0,0,0,184.50714347601834
233,Andhra Pradesh,1,6,1,1,1,0,1,1,142.60276361194613
234,Andhra Pradesh,0,5,0,0,0,0,0,0,137.13980798941967
235,Andhra Pradesh,1,4,1,0,0,0,0,0,173.47610233934904
236,Andhra Pradesh,0,2,0,0,0,0,0,0,77.68776943055495
237,Andhra Pradesh,1,4,1,0,0,0,0,0,113.67911377945428
238,Andhra Pradesh,1,5,1,1,1,1,0,0,139.0307853684721
239,Andhra Pradesh,0,5,1,1,0,0,0,1,95.30907527521926
240,Andhra Pradesh,0,6,0,0,0,0,0,0,164.99842028006088
241,Andhra Pradesh,1,3,1,1,0,0,0,1,96.8407679073194
242,Andhra Pradesh,1,2,1,1,1,1,1,1,139.55703753435375
243,Andhra Pradesh,0,4,0,0,0,0,0,0,52.373163764837365
244,Andhra Pradesh,1,5,1,1,0,0,1,0,139.3626092283435
245,Andhra Pradesh,1,3,1,0,0,0,0,0,116.36149047210043
246,Andhra Pradesh,0,5,1,0,0,0,0,0,90.67211547502772
247,Andhra Pradesh,0,5,1,1,1,1,1,0,199.32207360563856
248,Andhra Pradesh,1,2,1,1,0,0,0,1,111.42167795078058
249,Andhra Pradesh,1,5,1,1,0,0,1,1,196.12469429420233
250,Andhra Pradesh,1,4,1,1,0,1,1,0,179.70292880503104
251,Andhra Pradesh,0,4,1,1,1,1,1,0,101.94826528835054
252,Andhra Pradesh,1,3,1,1,0,0,1,0,136.18810734766498
253,Andhra Pradesh,0,4,0,0,0,0,0,0,130.95989281399142
254,Andhra Pradesh,0,5,0,0,0,0,0,0,71.19170739132588
255,Andhra Pradesh,1,5,1,1,1,1,0,0,189.90961107143823
256,Andhra Pradesh,0,4,1,0,0,0,0,0,70.87970369262948
257,Andhra Pradesh,0,6,1,0,0,0,0,0,173.78011511233524
258,Andhra Pradesh,0,2,0,0,0,0,0,0,84.88270375480701
259,Andhra Pradesh,1,4,1,0,0,0,0,0,190.4673760825491
260,Andhra Pradesh,0,3,0,1,1,0,0,0,134.66616360183235
261,Andhra Pradesh,1,2,1,1,1,1,0,1,61.194472150562255
262,Andhra Pradesh,0,3,1,0,0,0,0,0,142.7077511430779
263,Andhra Pradesh,0,3,1,1,1,0,0,0,168.81404506408148
264,Andhra Pradesh,1,4,1,1,1,1,1,0,87.28703865724131
265,Andhra Pradesh,1,3,1,0,0,0,0,0,152.14622408573666
266,Andhra Pradesh,1,4,1,0,0,0,0,0,144.39482090161044
267,Andhra Pradesh,1,1,1,1,1,0,0,1,72.38566669252641
268,Andhra Pradesh,1,5,1,0,0,0,0,0,171.60288919793993
269,Andhra Pradesh,0,6,1,0,0,0,0,0,69.97175062671454
270,Andhra Pradesh,1,4,0,0,0,0,0,0,61.462528915707715
271,Andhra Pradesh,1,6,1,0,0,0,0,0,173.76982938930558
272,Andhra Pradesh,0,4,0,0,0,0,0,0,183.40863741932662
273,Andhra Pradesh,1,5,1,0,0,0,0,0,116.49096311654274
274,Andhra Pradesh,1,1,1,1,0,1,1,0,108.13928472241543
275,Andhra Pradesh,1,8,0,0,0,0,0,0,167.57640151515108
276,Andhra Pradesh,1,3,1,0,0,0,0,0,60.306924877740165
277,Andhra Pradesh,1,1,1,0,0,0,0,0,167.37273868459067
278,Andhra Pradesh,1,7,1,1,1,1,1,0,121.73829418638856
279,Andhra Pradesh,0,3,1,1,1,0,0,0,142.47495903426253
280,Andhra Pradesh,1,1,1,1,1,1,0,0,74.55257021979523
281,Andhra Pradesh,1,6,1,1,1,0,0,0,181.89029899967574
282,Andhra Pradesh,1,3,1,1,0,0,0,1,58.07873104970392
283,Andhra Pradesh,1,4,1,0,0,0,0,0,159.19207650961147
284,Andhra Pradesh,1,4,1,0,0,0,0,0,123.25911950974094
285,Andhra Pradesh,1,2,1,1,0,0,1,1,64.0635380968335
286,Andhra Pradesh,0,6,0,0,0,0,0,0,133.70634877234505
287,Andhra Pradesh,0,5,0,0,0,0,0,0,79.09308009016623
288,Andhra Pradesh,0,5,1,0,0,0,0,0,172.26775767205518
289,Andhra Pradesh,0,5,1,0,0,0,0,0,128.62387560892432
290,Andhra Pradesh,0,6,0,1,0,0,0,0,176.2955557245063
291,Andhra Pradesh,1,3,1,1,0,0,1,1,149.45630067507383
292,Andhra Pradesh,1,2,1,1,1,1,0,0,126.51645687482377
293,Andhra Pradesh,0,2,1,1,1,0,0,0,53.439921690206305
294,Andhra Pradesh,1,4,1,0,0,0,0,0,161.88878132205116
295,Andhra Pradesh,0,3,0,0,0,0,0,0,106.01938942162602
296,Andhra Pradesh,1,4,1,1,1,0,0,0,94.916526573783
297,Andhra Pradesh,1,4,1,1,0,0,0,0,192.54691293958876
298,Andhra Pradesh,1,3,0,0,0,0,0,0,155.03779391667814
299,Andhra Pradesh,0,4,0,0,0,0,0,0,167.38729097770067
300,Andhra Pradesh,1,5,1,1,1,0,1,0,155.9028511496037
301,Andhra Pradesh,0,1,0,0,0,0,0,0,167.03195951451534
302,Andhra Pradesh,1,1,1,1,1,0,0,1,92.4118534368143
303,Arunachal Pradesh,1,2,1,0,0,0,0,0,87.43192997742591
304,Arunachal Pradesh,1,4,1,0,0,0,0,0,59.80492363465778
305,Arunachal Pradesh,0,1,1,0,0,0,0,0,70.88680566763927
306,Arunachal Pradesh,0,4,1,0,0,0,0,0,53.27350951632342
307,Arunachal Pradesh,0,7,0,0,0,0,0,0,57.838681892903566
308,Arunachal Pradesh,1,2,1,0,0,0,0,0,88.47950936663717
309,Arunachal Pradesh,0,3,0,0,0,0,0,0,195.80079944473056
310,Arunachal Pradesh,0,3,1,1,1,1,0,0,128.50863670615496
311,Arunachal Pradesh,1,5,1,1,0,0,1,0,122.70444306950705
312,Arunachal Pradesh,1,6,0,0,0,0,0,0,119.34433415009109
313,Arunachal Pradesh,1,4,1,1,0,0,1,1,167.94172990760495
314,Arunachal Pradesh,1,2,1,1,0,0,1,0,181.93727824272938
315,Arunachal Pradesh,0,3,0,0,0,0,0,0,165.80187144649855
316,Arunachal Pradesh,1,1,1,0,0,0,0,0,130.80526969290713
317,Arunachal Pradesh,0,2,0,0,0,0,0,0,107.06300112613435
318,Arunachal Pradesh,0,7,1,0,0,0,0,0,93.07069371268634
319,Arunachal Pradesh,0,4,0,0,0,0,0,0,109.39557089936824
320,Arunachal Pradesh,0,4,1,0,0,0,0,0,168.98920256573817
321,Arunachal Pradesh,1,5,0,0,0,0,0,0,197.5282209072833
322,Arunachal Pradesh,1,2,1,0,0,0,0,0,148.14388284874428
323,Arunachal Pradesh,1,3,1,1,0,0,0,0,112.66414689126495
324,Arunachal Pradesh,0,5,0,0,0,0,0,0,182.28916374569658
325,Arunachal Pradesh,1,2,1,1,1,0,0,1,159.72447355105436
326,Arunachal Pradesh,1,5,0,0,0,0,0,0,156.53641979349675
327,Arunachal Pradesh,1,3,0,0,0,0,0,0,103.66973979881627
328,Arunachal Pradesh,0,6,1,1,0,0,1,1,71.29579846414909
329,Arunachal Pradesh,1,3,1,0,0,0,0,0,143.13928512176466
330,Arunachal Pradesh,1,5,1,0,0,0,0,0,145.12132074436053
331,Arunachal Pradesh,1,4,1,0,0,0,0,0,60.446172224360865
332,Arunachal Pradesh,1,5,1,0,0,0,0,0,91.89141326816156
333,Arunachal Pradesh,0,5,0,0,0,0,0,0,81.89665645566441
334,Arunachal Pradesh,1,2,1,0,0,0,0,0,180.6806723394578
335,Arunachal Pradesh,0,5,0,0,0,0,0,0,186.07925460587447
336,Arunachal Pradesh,0,4,1,1,1,0,0,0,196.5200492765989
337,Arunachal Pradesh,1,3,1,0,0,0,0,0,187.7114828298726
338,Arunachal Pradesh,1,5,1,0,0,0,0,0,163.09428553951759
339,Arunachal Pradesh,0,1,0,0,0,0,0,0,95.71266430792
340,Arunachal Pradesh,0,3,0,0,0,0,0,0,155.55289661911937
341,Arunachal Pradesh,0,2,1,1,1,1,0,1,94.98786672604771
342,Arunachal Pradesh,0,1,0,0,0,0,0,0,150.17070248396098
343,Arunachal Pradesh,0,6,1,1,1,0,1,0,199.3156274286965
344,Arunachal Pradesh,0,4,1,0,0,0,0,0,139.8467762265816
345,Arunachal Pradesh,1,1,0,0,0,0,0,0,174.39301989751334
346,Arunachal Pradesh,0,4,0,0,0,0,0,0,97.5419881686679
347,Arunachal Pradesh,1,4,1,0,0,0,0,0,116.50700215687816
348,Arunachal Pradesh,0,5,0,0,0,0,0,0,85.61502025622094
349,Arunachal Pradesh,0,2,1,1,1,0,0,0,125.93990892428042
350,Arunachal Pradesh,0,2,1,1,1,1,1,1,195.7299036351576
351,Arunachal Pradesh,1,3,1,0,0,0,0,0,92.10248232739615
352,Arunachal Pradesh,1,3,1,1,1,1,1,0,170.3878519369719
353,Arunachal Pradesh,0,4,1,0,0,0,0,0,109.55225618557876
354,Arunachal Pradesh,1,4,1,1,0,0,1,0,198.92252584986056
355,Arunachal Pradesh,1,2,1,1,1,0,0,0,96.40590767941731
356,Arunachal Pradesh,0,7,0,1,0,1,1,1,140.56931794240816
357,Arunachal Pradesh,0,2,1,1,1,1,0,0,60.65114967998832
358,Arunachal Pradesh,1,3,0,0,0,0,0,0,151.80049350088473
359,Arunachal Pradesh,1,3,1,0,0,0,0,0,186.99304213643552
360,Arunachal Pradesh,0,6,0,0,0,0,0,0,185.36799609287627
361,Arunachal Pradesh,1,3,1,1,1,1,0,0,56.5608608463421
362,Arunachal Pradesh,1,3,1,0,0,0,0,0,147.84374728879095
363,Arunachal Pradesh,0,5,0,0,0,0,0,0,91.30717613831277
364,Arunachal Pradesh,1,4,1,0,0,0,0,0,173.36335605024175
365,Arunachal Pradesh,0,6,0,0,0,0,0,0,137.32981198911708
366,Arunachal Pradesh,1,4,1,0,0,0,0,0,106.1829330530182
367,Arunachal Pradesh,1,3,1,0,0,0,0,0,101.88161911067861
368,Arunachal Pradesh,1,1,1,1,1,1,0,0,151.5680959602514
369,Arunachal Pradesh,0,4,1,0,0,0,0,0,118.10024317941723
370,Arunachal Pradesh,0,2,0,1,1,0,0,1,54.64336863790153
371,Arunachal Pradesh,1,2,1,1,1,1,0,1,193.3878243432979
372,Arunachal Pradesh,1,5,1,0,0,0,0,0,197.60197448156964
373,Arunachal Pradesh,1,6,1,1,1,0,1,0,131.2557218615006
374,Arunachal Pradesh,0,6,0,0,0,0,0,0,88.90023459756418
375,Arunachal Pradesh,1,1,1,1,0,0,0,0,70.87950520185433
376,Arunachal Pradesh,0,5,0,0,0,0,0,0,199.07725833495473
377,Arunachal Pradesh,0,5,0,0,0,0,0,0,80.196816173365
378,Arunachal Pradesh,1,1,1,1,1,0,0,0,130.0079943148044
379,Arunachal Pradesh,0,2,0,0,0,0,0,0,169.1315993824108
380,Arunachal Pradesh,1,5,0,0,0,0,0,0,119.40134075980903
381,Arunachal Pradesh,0,4,0,0,0,0,0,0,106.29948618794029
382,Arunachal Pradesh,1,2,1,1,1,0,0,0,197.11090153751442
